Squadra;Punti;PartiteGiocate;Vittorie;Pareggi;Sconfitte;GoalFatti;GoalSubiti;DifferenzaReti
Inter;6;2;2;0;0;5;1;4
Milan;6;2;2;0;0;4;1;3
Juventus;6;2;2;0;0;3;0;3
Lazio;6;2;2;0;0;2;0;2
Udinese;4;2;1;1;0;4;3;1
Como;4;2;1;1;0;3;2;1
Roma;3;1;1;0;0;4;0;4
Frosinone;3;2;1;0;1;3;1;2
Lecce;3;1;1;0;0;2;0;2
Napoli;3;2;1;0;1;3;2;1
Atalanta;3;1;1;0;0;2;1;1
Sassuolo;3;2;1;0;1;3;3;0
Cagliari;3;2;1;0;1;1;1;0
Bologna;0;1;0;0;1;0;1;-1
Torino;0;2;0;0;2;2;4;-2
Genoa;0;2;0;0;2;0;3;-3
Parma;0;2;0;0;2;0;3;-3
Monza;0;2;0;0;2;3;7;-4
Venezia;0;2;0;0;2;0;4;-4
Fiorentina;0;2;0;0;2;0;7;-7
