Campionato;GiornoSettimana;GiornoMese;Mese;Casa;Trasferta;GoalCasa;GoalTrasferta
2019/20;Sab;24;Ago;Parma;Juventus;0;1
2019/20;Sab;24;Ago;Fiorentina;Napoli;3;4
2019/20;Dom;25;Ago;Udinese;Milan;1;0
2019/20;Dom;25;Ago;Roma;Genoa;3;3
2019/20;Dom;25;Ago;Cagliari;Brescia;0;1
2019/20;Dom;25;Ago;Hellas Verona;Bologna;1;1
2019/20;Dom;25;Ago;Sampdoria;Lazio;0;3
2019/20;Dom;25;Ago;SPAL;Atalanta;2;3
2019/20;Dom;25;Ago;Torino;Sassuolo;2;1
2019/20;Lun;26;Ago;Inter;Lecce;4;0
2019/20;Ven;30;Ago;Bologna;SPAL;1;0
2019/20;Sab;31;Ago;Milan;Brescia;1;0
2019/20;Sab;31;Ago;Juventus;Napoli;4;3
2019/20;Dom;1;Set;Lazio;Roma;1;1
2019/20;Dom;1;Set;Atalanta;Torino;2;3
2019/20;Dom;1;Set;Cagliari;Inter;1;2
2019/20;Dom;1;Set;Genoa;Fiorentina;2;1
2019/20;Dom;1;Set;Lecce;Hellas Verona;0;1
2019/20;Dom;1;Set;Sassuolo;Sampdoria;4;1
2019/20;Dom;1;Set;Udinese;Parma;1;3
2019/20;Sab;14;Set;Fiorentina;Juventus;0;0
2019/20;Sab;14;Set;Napoli;Sampdoria;2;0
2019/20;Sab;14;Set;Inter;Udinese;1;0
2019/20;Dom;15;Set;Genoa;Atalanta;1;2
2019/20;Dom;15;Set;Brescia;Bologna;3;4
2019/20;Dom;15;Set;Parma;Cagliari;1;3
2019/20;Dom;15;Set;SPAL;Lazio;2;1
2019/20;Dom;15;Set;Roma;Sassuolo;4;2
2019/20;Dom;15;Set;Hellas Verona;Milan;0;1
2019/20;Lun;16;Set;Torino;Lecce;1;2
2019/20;Ven;20;Set;Cagliari;Genoa;3;1
2019/20;Sab;21;Set;Udinese;Brescia;0;1
2019/20;Sab;21;Set;Juventus;Hellas Verona;2;1
2019/20;Sab;21;Set;Milan;Inter;0;2
2019/20;Dom;22;Set;Sassuolo;SPAL;3;0
2019/20;Dom;22;Set;Bologna;Roma;1;2
2019/20;Dom;22;Set;Lecce;Napoli;1;4
2019/20;Dom;22;Set;Sampdoria;Torino;1;0
2019/20;Dom;22;Set;Atalanta;Fiorentina;2;2
2019/20;Dom;22;Set;Lazio;Parma;2;0
2019/20;Mar;24;Set;Hellas Verona;Udinese;0;0
2019/20;Mar;24;Set;Brescia;Juventus;1;2
2019/20;Mer;25;Set;Roma;Atalanta;0;2
2019/20;Mer;25;Set;Fiorentina;Sampdoria;2;1
2019/20;Mer;25;Set;Genoa;Bologna;0;0
2019/20;Mer;25;Set;Inter;Lazio;1;0
2019/20;Mer;25;Set;Napoli;Cagliari;0;1
2019/20;Mer;25;Set;Parma;Sassuolo;1;0
2019/20;Mer;25;Set;SPAL;Lecce;1;3
2019/20;Gio;26;Set;Torino;Milan;2;1
2019/20;Sab;28;Set;Juventus;SPAL;2;0
2019/20;Sab;28;Set;Sampdoria;Inter;1;3
2019/20;Sab;28;Set;Sassuolo;Atalanta;1;4
2019/20;Dom;29;Set;Napoli;Brescia;2;1
2019/20;Dom;29;Set;Lazio;Genoa;4;0
2019/20;Dom;29;Set;Lecce;Roma;0;1
2019/20;Dom;29;Set;Udinese;Bologna;1;0
2019/20;Dom;29;Set;Cagliari;Hellas Verona;1;1
2019/20;Dom;29;Set;Milan;Fiorentina;1;3
2019/20;Lun;30;Set;Parma;Torino;3;2
2019/20;Sab;5;Ott;SPAL;Parma;1;0
2019/20;Sab;5;Ott;Hellas Verona;Sampdoria;2;0
2019/20;Sab;5;Ott;Genoa;Milan;1;2
2019/20;Dom;6;Ott;Fiorentina;Udinese;1;0
2019/20;Dom;6;Ott;Roma;Cagliari;1;1
2019/20;Dom;6;Ott;Atalanta;Lecce;3;1
2019/20;Dom;6;Ott;Bologna;Lazio;2;2
2019/20;Dom;6;Ott;Torino;Napoli;0;0
2019/20;Dom;6;Ott;Inter;Juventus;1;2
2019/20;Sab;19;Ott;Lazio;Atalanta;3;3
2019/20;Sab;19;Ott;Napoli;Hellas Verona;2;0
2019/20;Sab;19;Ott;Juventus;Bologna;2;1
2019/20;Dom;20;Ott;Sassuolo;Inter;3;4
2019/20;Dom;20;Ott;Cagliari;SPAL;2;0
2019/20;Dom;20;Ott;Sampdoria;Roma;0;0
2019/20;Dom;20;Ott;Udinese;Torino;1;0
2019/20;Dom;20;Ott;Parma;Genoa;5;1
2019/20;Dom;20;Ott;Milan;Lecce;2;2
2019/20;Lun;21;Ott;Brescia;Fiorentina;0;0
2019/20;Ven;25;Ott;Hellas Verona;Sassuolo;0;1
2019/20;Sab;26;Ott;Lecce;Juventus;1;1
2019/20;Sab;26;Ott;Inter;Parma;2;2
2019/20;Sab;26;Ott;Genoa;Brescia;3;1
