Campionato;GiornoSettimana;GiornoMese;Mese;Casa;Trasferta;GoalCasa;GoalTrasferta
2025/26;Sab;23;Ago;Genoa;Lecce;0;0
2025/26;Sab;23;Ago;Sassuolo;Napoli;0;2
2025/26;Sab;23;Ago;Milan;Cremonese;1;2
2025/26;Sab;23;Ago;Roma;Bologna;1;0
2025/26;Dom;24;Ago;Cagliari;Fiorentina;1;1
2025/26;Dom;24;Ago;Como;Lazio;2;0
2025/26;Dom;24;Ago;Atalanta;Pisa;1;1
2025/26;Dom;24;Ago;Juventus;Parma;2;0
2025/26;Lun;25;Ago;Udinese;Hellas Verona;1;1
2025/26;Lun;25;Ago;Inter;Torino;5;0
2025/26;Ven;29;Ago;Cremonese;Sassuolo;3;2
2025/26;Ven;29;Ago;Lecce;Milan;0;2
2025/26;Sab;30;Ago;Bologna;Como;1;0
2025/26;Sab;30;Ago;Parma;Atalanta;1;1
2025/26;Sab;30;Ago;Napoli;Cagliari;1;0
2025/26;Sab;30;Ago;Pisa;Roma;0;1
2025/26;Dom;31;Ago;Genoa;Juventus;0;1
2025/26;Dom;31;Ago;Torino;Fiorentina;0;0
2025/26;Dom;31;Ago;Inter;Udinese;1;2
2025/26;Dom;31;Ago;Lazio;Hellas Verona;4;0
2025/26;Sab;13;Set;Cagliari;Parma;2;0
2025/26;Sab;13;Set;Juventus;Inter;4;3
2025/26;Sab;13;Set;Fiorentina;Napoli;1;3
2025/26;Dom;14;Set;Roma;Torino;0;1
2025/26;Dom;14;Set;Atalanta;Lecce;4;1
2025/26;Dom;14;Set;Pisa;Udinese;0;1
2025/26;Dom;14;Set;Sassuolo;Lazio;1;0
2025/26;Dom;14;Set;Milan;Bologna;1;0
2025/26;Lun;15;Set;Hellas Verona;Cremonese;0;0
2025/26;Lun;15;Set;Como;Genoa;1;1
2025/26;Ven;19;Set;Lecce;Cagliari;1;2
2025/26;Sab;20;Set;Bologna;Genoa;2;1
2025/26;Sab;20;Set;Hellas Verona;Juventus;1;1
2025/26;Sab;20;Set;Udinese;Milan;0;3
2025/26;Dom;21;Set;Lazio;Roma;0;1
2025/26;Dom;21;Set;Cremonese;Parma;0;0
2025/26;Dom;21;Set;Torino;Atalanta;0;3
2025/26;Dom;21;Set;Fiorentina;Como;1;2
2025/26;Dom;21;Set;Inter;Sassuolo;2;1
2025/26;Lun;22;Set;Napoli;Pisa;3;2
2025/26;Sab;27;Set;Juventus;Atalanta;1;1
2025/26;Sab;27;Set;Cagliari;Inter;0;2
2025/26;Dom;28;Set;Sassuolo;Udinese;3;1
2025/26;Dom;28;Set;Roma;Hellas Verona;2;0
2025/26;Dom;28;Set;Pisa;Fiorentina;0;0
2025/26;Dom;28;Set;Como;Cremonese;1;1
2025/26;Dom;28;Set;Lecce;Bologna;2;2
2025/26;Dom;28;Set;Milan;Napoli;2;1
2025/26;Lun;29;Set;Parma;Torino;2;1
2025/26;Lun;29;Set;Genoa;Lazio;0;3
2025/26;Ven;3;Ott;Hellas Verona;Sassuolo;0;1
2025/26;Sab;4;Ott;Lazio;Torino;3;3
2025/26;Sab;4;Ott;Parma;Lecce;0;1
2025/26;Sab;4;Ott;Inter;Cremonese;4;1
2025/26;Sab;4;Ott;Atalanta;Como;1;1
2025/26;Dom;5;Ott;Udinese;Cagliari;1;1
2025/26;Dom;5;Ott;Bologna;Pisa;4;0
2025/26;Dom;5;Ott;Fiorentina;Roma;1;2
2025/26;Dom;5;Ott;Napoli;Genoa;2;1
2025/26;Dom;5;Ott;Juventus;Milan;0;0
2025/26;Sab;18;Ott;Lecce;Sassuolo;0;0
2025/26;Sab;18;Ott;Pisa;Hellas Verona;0;0
2025/26;Sab;18;Ott;Torino;Napoli;1;0
2025/26;Sab;18;Ott;Roma;Inter;0;1
2025/26;Dom;19;Ott;Como;Juventus;2;0
2025/26;Dom;19;Ott;Cagliari;Bologna;0;2
2025/26;Dom;19;Ott;Genoa;Parma;0;0
2025/26;Dom;19;Ott;Atalanta;Lazio;0;0
2025/26;Dom;19;Ott;Milan;Fiorentina;2;1
2025/26;Lun;20;Ott;Cremonese;Udinese;1;1
2025/26;Ven;24;Ott;Milan;Pisa;2;2
2025/26;Sab;25;Ott;Parma;Como;0;0
2025/26;Sab;25;Ott;Udinese;Lecce;3;2
2025/26;Sab;25;Ott;Napoli;Inter;3;1
2025/26;Sab;25;Ott;Cremonese;Atalanta;1;1
2025/26;Dom;26;Ott;Torino;Genoa;2;1
