Squadra;Punti;PartiteGiocate;Vittorie;Pareggi;Sconfitte;GoalFatti;GoalSubiti;DifferenzaReti
Roma;27;12;9;0;3;15;6;9
Milan;25;12;7;4;1;18;9;9
Napoli;25;12;8;1;3;19;11;8
Inter;24;12;8;0;4;26;13;13
Bologna;24;12;7;3;2;21;8;13
Como;21;12;5;6;1;17;7;10
Juventus;20;12;5;5;2;15;11;4
Lazio;18;12;5;3;4;15;9;6
Sassuolo;17;12;5;2;5;16;14;2
Udinese;15;12;4;3;5;12;20;-8
Cremonese;14;12;3;5;4;13;16;-3
Torino;14;12;3;5;4;11;21;-10
Atalanta;13;12;2;7;3;14;14;0
Cagliari;11;12;2;5;5;12;17;-5
Parma;11;12;2;5;5;9;15;-6
Pisa;10;12;1;7;4;10;16;-6
Lecce;10;12;2;4;6;8;16;-8
Genoa;8;12;1;5;6;11;19;-8
Fiorentina;6;12;0;6;6;10;19;-9
Hellas Verona;6;12;0;6;6;7;18;-11
