Squadre;InGioco;Logo;Url
Atalanta;1;Campionato di calcio 2026-27\image\Scudetti//Atalanta.png;https://www.atalanta.it/
Bologna;1;Campionato di calcio 2026-27\image\Scudetti//Bologna.png;https://www.bolognafc.it/
Cagliari;1;Campionato di calcio 2026-27\image\Scudetti//Cagliari.png;https://cagliaricalcio.com/
Como;1;Campionato di calcio 2026-27\image\Scudetti//Como.png;https://comofootball.com/
Fiorentina;1;Campionato di calcio 2026-27\image\Scudetti//Fiorentina.png;https://www.acffiorentina.com/
Frosinone;1;Campionato di calcio 2026-27\image\Scudetti//Frosinone.png;https://www.frosinonecalcio.com/
Genoa;1;Campionato di calcio 2026-27\image\Scudetti//Genoa.png;https://genoacfc.it/
Inter;1;Campionato di calcio 2026-27\image\Scudetti//Inter.png;https://www.inter.it/it
Juventus;1;Campionato di calcio 2026-27\image\Scudetti//Juventus.png;https://www.juventus.com/it
Lazio;1;Campionato di calcio 2026-27\image\Scudetti//Lazio.png;https://www.sslazio.it/it
Lecce;1;Campionato di calcio 2026-27\image\Scudetti//Lecce.png;https://www.uslecce.it/
Milan;1;Campionato di calcio 2026-27\image\Scudetti//Milan.png;https://www.acmilan.com/it
Monza;1;Campionato di calcio 2026-27\image\Scudetti//Monza.png;https://www.acmonza.com/
Napoli;1;Campionato di calcio 2026-27\image\Scudetti//Napoli.png;https://sscnapoli.it/
Parma;1;Campionato di calcio 2026-27\image\Scudetti//Parma.png;https://www.parmacalcio1913.com/
Roma;1;Campionato di calcio 2026-27\image\Scudetti//Roma.png;https://www.asroma.com/it
Sassuolo;1;Campionato di calcio 2026-27\image\Scudetti//Sassuolo.png;https://www.sassuolocalcio.it/
Torino;1;Campionato di calcio 2026-27\image\Scudetti//Torino.png;https://www.torinofc.it/
Udinese;1;Campionato di calcio 2026-27\image\Scudetti//Udinese.png;https://www.udinese.it/
Venezia;1;Campionato di calcio 2026-27\image\Scudetti//Venezia.png;https://www.veneziafc.it/
