Championship;DayWeek;DayMonth;Month;Home;Away;GoalHome;GoalAway;Win;Draw;Lose;ResultHome;ResultAway;Result;PointHome;PointAway;GamesPlayed;SignResultHome;SignResultAway;HomeMatch_1_Ago;HomeMatch_2_Ago;HomeMatch_3_Ago;HomeMatch_4_Ago;HomeMatch_5_Ago;HomeMatch_1_Ago_InHome;HomeMatch_2_Ago_InHome;HomeMatch_3_Ago_InHome;HomeMatch_4_Ago_InHome;HomeMatch_5_Ago_InHome;AwayMatch_1_Ago;AwayMatch_2_Ago;AwayMatch_3_Ago;AwayMatch_4_Ago;AwayMatch_5_Ago;AwayMatch_1_Ago_InAway;AwayMatch_2_Ago_InAway;AwayMatch_3_Ago_InAway;AwayMatch_4_Ago_InAway;AwayMatch_5_Ago_InAway;HomeGoal_1_match_Ago;HomeGoal_2_match_Ago;HomeGoal_3_match_Ago;HomeGoal_4_match_Ago;HomeGoal_5_match_Ago;HomeGoal_1_match_Ago_InHome;HomeGoal_2_match_Ago_InHome;HomeGoal_3_match_Ago_InHome;HomeGoal_4_match_Ago_InHome;HomeGoal_5_match_Ago_InHome;AwayGoal_1_match_Ago;AwayGoal_2_match_Ago;AwayGoal_3_match_Ago;AwayGoal_4_match_Ago;AwayGoal_5_match_Ago;AwayGoal_1_match_Ago_InAway;AwayGoal_2_match_Ago_InAway;AwayGoal_3_match_Ago_InAway;AwayGoal_4_match_Ago_InAway;AwayGoal_5_match_Ago_InAway
2019/20;Sabato;24;Agosto;Parma;Juventus;0;1;False;False;True;-1;1;2;0;3;228;2;1;2;X;X;X;X;2;X;X;X;X;1;X;X;X;X;1;X;X;X;X;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2019/20;Sabato;24;Agosto;Fiorentina;Napoli;3;4;False;False;True;-1;1;2;0;3;228;2;1;2;2;X;X;X;2;X;X;X;X;1;1;X;X;X;1;X;X;X;X;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0
2019/20;Domenica;25;Agosto;Udinese;Milan;1;0;True;False;False;1;-1;1;3;0;228;1;2;1;2;2;X;X;1;X;X;X;X;2;1;1;X;X;2;X;X;X;X;1.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0
2019/20;Domenica;25;Agosto;Roma;Genoa;3;3;False;True;False;0;0;X;1;1;228;X;X;X;1;2;2;X;X;X;X;X;X;X;2;1;1;X;X;X;X;X;X;3.0;1.0;3.0;0.0;0.0;3.0;1.0;3.0;0.0;0.0;3.0;0.0;4.0;1.0;0.0;3.0;0.0;4.0;1.0;0.0
2019/20;Domenica;25;Agosto;Cagliari;Brescia;0;1;False;False;True;-1;1;2;0;3;228;2;1;2;X;1;2;2;2;X;X;X;X;1;X;2;1;1;1;X;X;X;X;0.0;3.0;1.0;3.0;0.0;0.0;3.0;1.0;3.0;0.0;1.0;3.0;0.0;4.0;1.0;1.0;3.0;0.0;4.0;1.0
2019/20;Domenica;25;Agosto;Hellas Verona;Bologna;1;1;False;True;False;0;0;X;1;1;228;X;X;X;2;X;1;2;X;X;X;X;X;X;1;X;2;1;X;X;X;X;X;1.0;0.0;3.0;1.0;3.0;1.0;0.0;3.0;1.0;3.0;1.0;1.0;3.0;0.0;4.0;1.0;1.0;3.0;0.0;4.0
2019/20;Domenica;25;Agosto;Sampdoria;Lazio;0;3;False;False;True;-1;1;2;0;3;228;2;1;2;X;2;X;1;2;X;X;X;X;1;X;1;X;2;1;X;X;X;X;0.0;1.0;0.0;3.0;1.0;0.0;1.0;0.0;3.0;1.0;3.0;1.0;1.0;3.0;0.0;3.0;1.0;1.0;3.0;0.0
2019/20;Domenica;25;Agosto;SPAL;Atalanta;2;3;False;False;True;-1;1;2;0;3;228;2;1;2;2;X;2;X;2;X;X;X;X;1;1;X;1;X;1;X;X;X;X;2.0;0.0;1.0;0.0;3.0;2.0;0.0;1.0;0.0;3.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;1.0;1.0;3.0
2019/20;Domenica;25;Agosto;Torino;Sassuolo;2;1;True;False;False;1;-1;1;3;0;228;1;2;1;2;2;X;2;1;X;X;X;X;2;1;1;X;1;2;X;X;X;X;2.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;1.0;0.0;1.0;3.0;3.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0
2019/20;Lunedì;26;Agosto;Inter;Lecce;4;0;True;False;False;1;-1;1;3;0;228;1;2;1;1;2;2;X;1;X;X;X;X;2;2;1;1;X;2;X;X;X;X;4.0;2.0;2.0;0.0;1.0;4.0;2.0;2.0;0.0;1.0;0.0;1.0;3.0;3.0;1.0;0.0;1.0;3.0;3.0;1.0
