Teams;InitialRating
Atalanta;1180.0753871849545
Bologna;1119.088063314438
Cagliari;952.9753813045156
Como;1055.6049417617585
Cremonese;942.3327425944995
Fiorentina;1125.0053450061566
Genoa;1021.4184804353654
Hellas Verona;967.3415777638024
Inter;1268.2264865169043
Juventus;1185.0946482049253
Lazio;1137.3959329470115
Lecce;953.0169231567637
Milan;1145.753888346452
Napoli;1216.1246819496596
Parma;947.1351107695416
Pisa;1000.0
Roma;1204.8194979438647
Sassuolo;922.5505339042912
Torino;1017.5805094214468
Udinese;972.2067713632026
