Teams;Play;Logo;Url
Atalanta;1;Campionato di calcio 2025-26\image\Scudetti//Atalanta.png;https://www.atalanta.it/
Bologna;1;Campionato di calcio 2025-26\image\Scudetti//Bologna.png;https://www.bolognafc.it/
Cagliari;1;Campionato di calcio 2025-26\image\Scudetti//Cagliari.png;https://cagliaricalcio.com/
Como;1;Campionato di calcio 2025-26\image\Scudetti//Como.png;https://comofootball.com/
Cremonese;1;Campionato di calcio 2025-26\image\Scudetti//Cremonese.png;
Fiorentina;1;Campionato di calcio 2025-26\image\Scudetti//Fiorentina.png;https://www.acffiorentina.com/
Genoa;1;Campionato di calcio 2025-26\image\Scudetti//Genoa.png;https://genoacfc.it/
Hellas Verona;1;Campionato di calcio 2025-26\image\Scudetti//Hellas Verona.png;https://www.hellasverona.it/
Inter;1;Campionato di calcio 2025-26\image\Scudetti//Inter.png;https://www.inter.it/it
Juventus;1;Campionato di calcio 2025-26\image\Scudetti//Juventus.png;https://www.juventus.com/it
Lazio;1;Campionato di calcio 2025-26\image\Scudetti//Lazio.png;https://www.sslazio.it/it
Lecce;1;Campionato di calcio 2025-26\image\Scudetti//Lecce.png;https://www.uslecce.it/
Milan;1;Campionato di calcio 2025-26\image\Scudetti//Milan.png;https://www.acmilan.com/it
Napoli;1;Campionato di calcio 2025-26\image\Scudetti//Napoli.png;https://sscnapoli.it/
Parma;1;Campionato di calcio 2025-26\image\Scudetti//Parma.png;https://www.parmacalcio1913.com/
Pisa;1;Campionato di calcio 2025-26\image\Scudetti//Pisa.png;
Roma;1;Campionato di calcio 2025-26\image\Scudetti//Roma.png;https://www.asroma.com/it
Sassuolo;1;Campionato di calcio 2025-26\image\Scudetti//Sassuolo.png;
Torino;1;Campionato di calcio 2025-26\image\Scudetti//Torino.png;https://www.torinofc.it/
Udinese;1;Campionato di calcio 2025-26\image\Scudetti//Udinese.png;https://www.udinese.it/
